input0,input1,input2,input3,input4,input5,input6,input7,input8,input9,Science,Cost
0,0,1,1,2,4,3,3,-1,-1,-0.7113866111111111,1495.0220309272584
0,0,1,2,0,4,4,2,-1,-1,-0.7113866111111111,525.6872355297812
0,1,1,1,0,3,3,-1,-1,-1,-0.7650532777777779,1701.8087419537792
0,1,0,2,1,0,4,0,-1,-1,-0.5756755,1044.6542820923491
0,1,0,0,1,3,3,-1,-1,-1,-0.726275777777778,704.7440957803025
0,0,1,2,1,1,0,1,-1,-1,-0.7059092333333334,716.9497708984813
0,0,1,0,1,4,4,-1,-1,-1,-0.7113866111111111,361.80240918954206
0,1,0,2,2,3,3,1,-1,-1,-0.7169141111111113,1038.8248246371165
0,0,0,1,1,2,2,-1,-1,-1,-0.6825821944444446,512.6342598640371
0,0,0,1,2,2,1,2,-1,-1,-0.6825821944444446,623.1601174548509
0,0,1,1,2,2,2,4,-1,-1,-0.6825821944444446,692.4050894340164
0,0,0,0,1,2,2,-1,-1,-1,-0.6825821944444446,282.7083829454984
0,1,2,1,1,2,2,1,-1,-1,-0.6825821944444446,1152.0635692351723
0,1,0,0,2,4,4,3,-1,-1,-0.7113866111111111,787.049086415204
0,1,1,2,0,0,1,1,-1,-1,-0.5636599722222222,1512.917765219498
0,1,0,2,0,0,1,0,-1,-1,-0.5481044166666666,1120.8462212962718
0,1,1,2,0,1,4,0,-1,-1,-0.7862755000000001,2085.4621656900317
0,1,1,2,0,1,4,0,-1,-1,-0.7862755000000001,2085.4621656900317
0,0,1,0,0,0,0,-1,-1,-1,-0.5385989591666667,191.3270535799192
0,1,1,2,0,0,1,1,-1,-1,-0.5636599722222222,1512.917765219498
0,1,1,2,0,0,1,1,-1,-1,-0.5636599722222222,1512.917765219498
0,0,1,0,0,0,0,-1,-1,-1,-0.5385989591666667,191.3270535799192
0,0,0,1,2,1,1,0,-1,-1,-0.6825821944444446,623.8859021006385
0,1,1,2,0,1,4,0,-1,-1,-0.7862755000000001,2085.4621656900317
0,0,1,0,0,0,0,-1,-1,-1,-0.5385989591666667,191.3270535799192
0,1,1,2,0,1,4,0,-1,-1,-0.7862755000000001,2085.4621656900317
0,0,1,0,0,0,0,-1,-1,-1,-0.5385989591666667,191.3270535799192
0,1,1,2,0,1,4,0,-1,-1,-0.7862755000000001,2085.4621656900317
0,0,1,0,0,0,0,-1,-1,-1,-0.5385989591666667,191.3270535799192
0,0,1,1,1,3,0,-1,-1,-1,-0.7593803166666668,1846.2472434728181
0,0,1,1,1,4,3,-1,-1,-1,-0.7411649444444446,1792.9465756154939
0,1,1,2,0,3,4,0,-1,-1,-0.7862755000000001,1818.4164169672804
0,1,1,2,0,3,4,0,-1,-1,-0.7862755000000001,1818.4164169672804
0,1,1,2,0,3,4,0,-1,-1,-0.7862755000000001,1818.4164169672804
0,1,1,2,0,3,4,0,-1,-1,-0.7862755000000001,1818.4164169672804
0,0,1,0,0,0,0,-1,-1,-1,-0.5385989591666667,191.3270535799192
0,1,1,2,0,1,4,0,-1,-1,-0.7862755000000001,2085.4621656900317
0,1,1,2,0,3,4,0,-1,-1,-0.7862755000000001,1818.4164169672804
0,1,1,2,0,3,4,0,-1,-1,-0.7862755000000001,1818.4164169672804
0,1,0,0,0,3,4,-1,-1,-1,-0.7687199444444446,2676.9020324204334
0,1,1,1,1,1,1,-1,-1,-1,-0.7123605277777778,979.1809823767369
0,0,1,0,0,3,1,-1,-1,-1,-0.7650532777777779,1837.9758644173723
0,0,0,1,0,3,0,-1,-1,-1,-0.7862755000000001,2952.9434827536143
0,0,1,1,1,3,0,-1,-1,-1,-0.7593803166666668,1846.2472434728181
0,1,1,2,0,3,4,0,-1,-1,-0.7862755000000001,1818.4164169672804
0,1,1,2,1,2,1,1,-1,-1,-0.7050271944444446,1301.1882501646055
0,0,0,1,0,3,0,-1,-1,-1,-0.7862755000000001,2952.9434827536143
0,0,1,2,0,3,4,0,-1,-1,-0.7862755000000001,1930.7753848766467
0,1,1,2,0,3,4,0,-1,-1,-0.7862755000000001,1818.4164169672804
0,0,1,0,0,0,0,-1,-1,-1,-0.5385989591666667,191.3270535799192
0,1,1,2,0,3,4,0,-1,-1,-0.7862755000000001,1818.4164169672804
0,1,1,2,0,3,4,0,-1,-1,-0.7862755000000001,1818.4164169672804
0,1,1,2,0,3,4,0,-1,-1,-0.7862755000000001,1818.4164169672804
0,0,1,1,1,4,3,-1,-1,-1,-0.7411649444444446,1792.9465756154939
0,0,1,0,0,0,0,-1,-1,-1,-0.5385989591666667,191.3270535799192
0,0,1,0,0,0,0,-1,-1,-1,-0.5385989591666667,191.3270535799192
0,0,1,0,0,0,0,-1,-1,-1,-0.5385989591666667,191.3270535799192
0,1,1,2,0,3,4,0,-1,-1,-0.7862755000000001,1818.4164169672804
0,0,1,1,0,3,0,-1,-1,-1,-0.7796755,1833.2141312271729
0,1,1,2,0,3,4,0,-1,-1,-0.7862755000000001,1818.4164169672804
0,1,1,2,0,3,4,0,-1,-1,-0.7862755000000001,1818.4164169672804
0,0,1,0,0,0,0,-1,-1,-1,-0.5385989591666667,191.3270535799192
0,0,1,1,0,3,4,-1,-1,-1,-0.7650532777777779,1792.1540271917172
0,1,1,2,0,1,4,0,-1,-1,-0.7862755000000001,2085.4621656900317
0,1,1,2,0,3,4,0,-1,-1,-0.7862755000000001,1818.4164169672804
0,1,1,0,0,3,4,-1,-1,-1,-0.7650532777777779,1686.2958571833547
0,1,1,2,0,3,4,0,-1,-1,-0.7862755000000001,1818.4164169672804
0,1,1,0,0,3,4,-1,-1,-1,-0.7650532777777779,1686.2958571833547
0,1,1,2,0,3,4,0,-1,-1,-0.7862755000000001,1818.4164169672804
0,1,0,1,1,3,4,-1,-1,-1,-0.7113866111111111,1750.3585753266161
0,1,1,2,0,3,4,0,-1,-1,-0.7862755000000001,1818.4164169672804
0,1,1,2,0,3,4,0,-1,-1,-0.7862755000000001,1818.4164169672804
0,0,1,1,1,4,3,-1,-1,-1,-0.7411649444444446,1792.9465756154939
0,0,1,1,1,4,3,-1,-1,-1,-0.7411649444444446,1792.9465756154939
0,1,1,2,0,3,4,0,-1,-1,-0.7862755000000001,1818.4164169672804
0,1,1,2,0,3,4,0,-1,-1,-0.7862755000000001,1818.4164169672804
0,0,1,1,1,4,3,-1,-1,-1,-0.7411649444444446,1792.9465756154939
0,0,1,2,0,3,4,0,-1,-1,-0.7862755000000001,1930.7753848766467
0,1,1,0,0,3,4,-1,-1,-1,-0.7650532777777779,1686.2958571833547
0,1,1,0,0,3,4,-1,-1,-1,-0.7650532777777779,1686.2958571833547
0,1,1,2,0,3,4,0,-1,-1,-0.7862755000000001,1818.4164169672804
0,1,1,2,0,2,1,1,-1,-1,-0.6825821944444446,1492.5796169367188
0,1,1,0,0,3,4,-1,-1,-1,-0.7650532777777779,1686.2958571833547
0,1,2,0,0,3,4,1,-1,-1,-0.7650532777777779,1827.2654335616608
0,1,1,2,0,3,4,0,-1,-1,-0.7862755000000001,1818.4164169672804
0,0,1,2,0,3,4,0,-1,-1,-0.7862755000000001,1930.7753848766467
0,1,1,0,0,3,4,-1,-1,-1,-0.7650532777777779,1686.2958571833547
0,1,1,2,0,3,4,0,-1,-1,-0.7862755000000001,1818.4164169672804
0,0,1,2,0,3,4,0,-1,-1,-0.7862755000000001,1930.7753848766467
0,1,1,2,0,3,4,0,-1,-1,-0.7862755000000001,1818.4164169672804
0,1,1,0,0,3,4,-1,-1,-1,-0.7650532777777779,1686.2958571833547
0,1,1,2,0,1,1,1,-1,-1,-0.7362488611111111,1522.917765219498
0,1,1,2,0,3,4,0,-1,-1,-0.7862755000000001,1818.4164169672804
0,1,1,0,0,3,4,-1,-1,-1,-0.7650532777777779,1686.2958571833547
0,1,1,2,0,3,4,0,-1,-1,-0.7862755000000001,1818.4164169672804
0,1,1,2,0,3,4,0,-1,-1,-0.7862755000000001,1818.4164169672804
0,1,1,2,0,3,4,0,-1,-1,-0.7862755000000001,1818.4164169672804
0,1,1,2,0,3,4,0,-1,-1,-0.7862755000000001,1818.4164169672804
0,1,1,0,0,3,4,-1,-1,-1,-0.7650532777777779,1686.2958571833547
0,1,1,0,0,3,4,-1,-1,-1,-0.7650532777777779,1686.2958571833547
